name,avg_rating
Walgreens (2400 Atlantic Ave),4.900000095367432
Katsu Burger (Georgetown),4.900000095367432
BurgerIM (South Riding),4.900000095367432
Five Guys AL-1243 4650 W. Main St.,4.900000095367432
Sunlight Cafe,4.900000095367432
Dog Haus Biergarten - Four Points,4.900000095367432
Beans &amp; Barley,4.900000095367432
Leila's Luau (Syracuse),4.900000095367432
Homegrown Smoker,4.900000095367432
Wendy's  (14620 Wards Road),4.900000095367432
Joe’s Deli,4.900000095367432
7-Eleven (4820 West 6200 South),4.900000095367432
7-Eleven (9700 Jefferson Davis Hwy),4.900000095367432
McDonald's® (Bradlick Shopping Center Relo),4.900000095367432
Safeway Express (1616 W Northwest Blvd),4.900000095367432
True Food Kitchen (Mosaic District),4.900000095367432
Burger King (611 North Frontage Road),4.900000095367432
La Bendicion,4.900000095367432
Cascadia Public House,4.900000095367432
Newk's Eatery 4925 University Drive,4.900000095367432
Scooter's Burgers,4.900000095367432
Makarios Kabobs &amp; Grill,4.900000095367432
Safeway Express (1803 George Washington Way),4.900000095367432
Lolas Handcrafted Kitchen,4.900000095367432
McDonald's® (2437 W GEORGE ST),4.900000095367432
Hollywood Burger (Keller),4.900000095367432
Fish River Grill,4.900000095367432
Buon Appetito NY Pizza (Dulles),4.900000095367432
Ixtapa Redmond,4.900000095367432
Shari's Cafe (Union Gap),4.900000095367432
Olipita Mediterranean and American Grill,4.900000095367432
7-Eleven (2637 White Settlement Rd),4.900000095367432
Et Voila!,4.900000095367432
Falafel Guys,4.900000095367432
Wild Burger (2747 Milwaukee Rd.),4.900000095367432
Walgreens (15510 E Sprague Ave),4.900000095367432
Espita Mezcaleria (Cardozo),4.900000095367432
McDonald's (31 Maddex Square Dr),4.900000095367432
HipCityVeg Chinatown,4.900000095367432
Plantiful Superfoods,4.900000095367432
Buon Appetito NY Pizza (Chantilly),4.900000095367432
Proper 21,4.900000095367432
Godfather's Pizza (231 State Farm Pkwy),4.900000095367432
7-Eleven (1539 21St Se),4.900000095367432
Five Guys VA-0667 5761 Burke Centre Pkwy,4.900000095367432
Bunk Sandwiches (Water Ave),4.900000095367432
Five Guys VA-0638 11500 Midlothian Turnpike,4.900000095367432
Beefsteak - George Washington University,4.900000095367432
Parkway Restaurant,4.900000095367432
Safeway Express (2890 Nw Bucklin Hill Rd),4.900000095367432
Anita's New Mexico Style Mexican Food (Leesburg),4.900000095367432
7-Eleven (4086 MAJESTIC LANE),4.900000095367432
Ram indimex foods,4.900000095367432
Sonic (108 Lucy Lane),4.900000095367432
