category,num_restaurants
Italian,34
Latin American-Mexican-Vegetarian-Healthy,33
Chinese-Asian,33
Burritos-Fast Food-Mexican-Group Friendly,33
American-Fried Chicken-Family Meals-Southern-Sandwich-Fast Food-Group Friendly,32
American-Breakfast and Brunch-Coffee and Tea-Diner-Desserts-Salads-Steak-Sandwich-Family Meals-Healthy,32
Dinner-Healthy-Salads,32
Snacks-Everyday Essentials-Convenience-Home &amp; Personal Care,32
Convenience,31
Ramen-Japanese-Comfort Food,31
Everyday Essentials-Convenience-Snacks-Home &amp; Personal Care,31
Mexican-Latin American,31
American-Comfort Food,30
Mexican-Tacos-Burritos,30
Chinese-Asian-Chicken,30
wings,30
Bakery-Desserts,30
Italian-Pasta-Pizza,30
Salads-Juice and Smoothies-Sandwich-Deli-Convenience-Everyday Essentials-Home &amp; Personal Care-Coffee and Tea-Snacks,29
Italian-Pizza,29
Cafe-Coffee &amp; Tea-Breakfast and Brunch-Bakery-Group Friendly,29
Pizza-American-Comfort Food,29
Pizza-Wings-Desserts,28
Chinese-Asian-Seafood,28
Mexican-Tex Mex-New American,28
Flowers-florist,28
Burgers-American-Sandwiches-Family Friendly,27
Breakfast and Brunch-Sandwich-American-Comfort Food-Cafe,27
Burgers-American-Sandwiches-Exclusive to Eats,27
Desserts-Vegetarian-Coffee and Tea,27
Chinese-Asian-Asian Fusion-Family Friendly,27
Mexican-New Mexican,27
American-Family Meals,27
American-Bakery-Breakfast &amp; Brunch,27
Soul Food-American-Burgers,26
Seafood-American-Family Meals-Family Friendly,26
American-Seafood,26
Mexican-Latin American-New Mexican-Alcohol,26
American-Breakfast and Brunch-burger-Comfort Food-Dinner-Omelette-salad-Traditional American-Family Meals-Family Friendly,26
Mexican-Latin American-New Mexican-Family Meals,26
Middle Eastern-Arabian-Chicken,26
American-Bar Food-BBQ-burger-Chicken Strips-Comfort Food-Dinner-pasta-salad-Sandwich-Soup-Steak-Traditional American-wings,26
American-Comfort Food-Seafood,25
Breakfast and Brunch-Bakery-Desserts,25
Burgers-American,25
Italian-Family Meals,25
Breakfast and Brunch-Family Meals-Sandwich-Salads-Pasta-Cafe,25
Burgers-American-Sandwiches-Allergy Friendly,25
Mexican-Fast Food,25
American-BBQ,25
Seafood-Fast Food-Fish and Chips-American-Family Meals,24
Italian-wings-Pizza-American-Fast Food-pizza-Italian,24
Comfort Food-Caribbean-Cajun,24
Pizza-Italian-Pasta,24
Japanese-Sushi,24
Wings-Chicken-Fried Chicken,24
Convenience-Everyday Essentials-Snacks-Home &amp; Personal Care-Alcohol,24
Japanese,24
American-Fried Chicken-Wings,24
Thai-Family Friendly,24
Fast Food-Italian-pizza-wings-Family Meals,23
Ice Cream + Frozen Yogurt,23
American-Family Meals-Family Friendly,23
Chinese-Asian-Asian Fusion-Family Meals,23
American-Sandwich-Fast Food,23
Sandwich-American-Comfort Food,23
American-burger-Fast Food-Hot Dog-Sandwich,23
Burgers-Fast Food-Burgers-Sandwiches-American,23
American-Chicken Strips-Wings-Chicken,23
Mexican-Tacos,23
,23
Bakery-Breakfast and Brunch-Cafe-Coffee &amp; Tea-Group Friendly,23
Chicken-Wings-Sandwiches-Comfort Food-Family Meals,22
Mexican-Burritos-Tacos,22
Asian-Chinese-Family Meals-Group Friendly,22
American-Wings-Comfort Food,22
Seafood,22
American-Burgers-Comfort Food,22
Juice and Smoothies-Breakfast and Brunch-Bowls-Healthy,22
Ice Cream + Frozen Yogurt-Desserts-Cupcakes,22
Wings-Chicken-American,21
Breakfast and Brunch-salad-Sandwich-Healthy-American-Chicken,21
American-Burgers-Fast Food-Group Friendly,21
Mexican-Tex Mex-Breakfast and Brunch-Family Meals,21
Bakery-Comfort Food-Desserts-Pretzel-Family Meals,21
Italian-pasta-pizza,21
American-Fried Chicken-Southern-Sandwich-Fast Food,21
African-Comfort Food-Steak,21
Breakfast and Brunch-American-Comfort Food-Kids Friendly-Mexican,21
Sandwich-Family Meals,20
Alcohol-Drinks-Wine-Liquor Stores,20
