category,avg_price_range
,\N
AAPI-owned, Convenience, Alcohol, Liquor Stores,\N
Affordable Meals, Burgers, Fast Food,\N
Affordable Meals, Chinese, Asian,\N
Affordable Meals, Gluten Free Friendly, Italian, Alcohol,\N
Affordable Meals, Japanese, Chinese, Sushi,\N
Affordable Meals, Seafood, Soul Food,\N
Afghan,\N
Afghan, Comfort Food,\N
Afghan, Fast Food, Halal,\N
Afghan, Middle Eastern,\N
Afghan, Middle Eastern, Salads,\N
Afghan, Pakistani, Indian, Allergy Friendly,\N
African,\N
African, Black-owned,\N
African, Breakfast and Brunch, Vegan Friendly, Chicken, Juice and Smoothies, Coffee and Tea, Desserts,\N
African, Caribbean, American, Black-owned, Chicken, Burgers, Family Meals, Comfort Food,\N
African, Caribbean, Jamaican, Exclusive to Eats,\N
African, Chicken, Vegan, Exclusive to Eats,\N
African, Comfort Food, Sandwich, Black-owned, Allergy Friendly,\N
African, Comfort Food, Steak,\N
African, Comfort Food, Steak, Black-owned,\N
African, Comfort Food, Steak, Black-owned, Chicken,\N
African, Comfort Food, Steak, Bowls,\N
African, Comfort Food, Steak, Soul Food, Southern, West African, Black-owned,\N
African, Comfort Food, Vegan, Vegetarian,\N
African, Ethiopian,\N
African, Ethiopian, Allergy Friendly, Family Meals, Black-owned, Exclusive to Eats,\N
African, Ethiopian, Breakfast and Brunch, Pasta, Allergy Friendly,\N
African, Ethiopian, Vegan,\N
African, Ethiopian, Vegetarian,\N
African, Ethiopian, Vegetarian, Alcohol, Drinks, Liquor Stores, Wine,\N
African, Ethiopian, Vegetarian, Alcohol, Liquor Stores,\N
African, Ethiopian, Vegetarian, Alcohol, Liquor Stores, Drinks, Wine,\N
African, Ethiopian, Vegetarian, Alcohol, Wine, Liquor Stores, Drinks,\N
African, Ethiopian, Vegetarian, Everyday Essentials, Convenience, Snacks, Home &amp; Personal Care, Alcohol,\N
African, Ethiopian, Vegetarian, Everyday Essentials, Convenience, Snacks, Home &amp; Personal Care, Alcohol, Drinks,\N
African, Ethiopian, Vegetarian, Healthy,\N
African, Ethiopian, Vegetarian, Healthy, Black-owned, Exclusive to Eats,\N
African, Ethiopian, Vegetarian, Healthy, Exclusive to Eats,\N
African, Halal, Women-owned,\N
African, Jewish, Black-owned,\N
African, Mediterranean,\N
African, Seafood, Vegetarian, Healthy, Black-owned,\N
African, Steak,\N
African, West African,\N
African, West African, Seafood,\N
African: Ethiopian, BBQ,\N
African: Ethiopian, Breakfast and Brunch, Chicken,\N
African: Ethiopian, Latin American, Salads, Healthy,\N
African: Ethiopian, Snacks, Rice-bowls,\N
African: Other, American, Chicken, Black-owned,\N
African: Other, Black-owned,\N
African: Other, Chicken,\N
African: Other, Chicken, Steak,\N
African: Other, Nigerian, Allergy Friendly,\N
African: Other, Salads, Chicken, Healthy,\N
Alcohol,\N
Alcohol, Black-owned, American, Coffee and Tea, Wine,\N
Alcohol, Convenience, Everyday Essentials, Allergy Friendly,\N
Alcohol, Drinks, Gluten Free, Gluten Free Friendly,\N
Alcohol, Drinks, Liquor Stores,\N
Alcohol, Drinks, Liquor Stores, Wine,\N
Alcohol, Drinks, Wine,\N
Alcohol, Drinks, Wine, Beer,\N
Alcohol, Drinks, Wine, Everyday Essentials, Convenience, Grocery,\N
Alcohol, Drinks, Wine, Liquor Stores,\N
Alcohol, Everyday Essentials, Convenience,\N
Alcohol, Everyday Essentials, Convenience, Grocery, Snacks,\N
Alcohol, Everyday Essentials, Convenience, Snacks,\N
Alcohol, Grocery, Convenience,\N
Alcohol, Liquor Stores,\N
Alcohol, Liquor Stores, Allergy Friendly,\N
Alcohol, Liquor Stores, Beer,\N
Alcohol, Liquor Stores, Beer, Wine,\N
Alcohol, Liquor Stores, Drinks,\N
Alcohol, Liquor Stores, Drinks, Wine,\N
Alcohol, Liquor Stores, Family Friendly, Wine,\N
Alcohol, Liquor Stores, Specialty Foods, Gift Store,\N
Alcohol, Liquor Stores, Wine,\N
Alcohol, Liquor Stores, Wine, Beer,\N
Alcohol, Liquor Stores, Wine, Convenience,\N
Alcohol, Liquor Stores, Wine, Convenience, Allergy Friendly,\N
Alcohol, Wine,\N
Alcohol, Wine, Drinks,\N
Alcohol, Wine, Liquor Stores,\N
Allergy Friendly,\N
Allergy Friendly, American, Seafood, Black-owned,\N
Ameican,\N
American,\N
American (New), Seafood, BBQ,\N
American (Traditional), Sports Bar, Family Friendly,\N
American, Alcohol, American, Burgers,\N
American, Allergy Friendly,\N
American, Allergy Friendly, Alcohol,\N
American, Allergy Friendly, Burgers, Sandwich, Family Meals, Desserts, Seafood, Salads, Gluten Free, Kids Friendly, Healthy,\N
American, Allergy Friendly, Exclusive to Eats,\N
American, Argentinian, Breakfast and Brunch,\N
American, Asado, Salads,\N
American, Asian Fusion, Korean,\N
American, Asian Fusion, Specialty Foods, Gift Store,\N
American, Asian, Asian Fusion,\N
American, Asian, Burgers, Exclusive to Eats,\N
American, Asian, Salads, Allergy Friendly,\N
American, Aus Burger, Salads,\N
American, Aus Burger, Wings, Chicken,\N
American, BBQ,\N
American, BBQ, Allergy Friendly,\N
American, BBQ, BBQ, Burgers,\N
American, BBQ, Burgers,\N
American, BBQ, Burgers, Family Meals,\N
American, BBQ, Chicken,\N
American, BBQ, Comfort Food,\N
American, BBQ, Comfort Food, Burgers, Chicken, Steak, Wings,\N
American, BBQ, Comfort Food, Southern, Wings,\N
American, BBQ, Comfort Food, Wings, Southern,\N
American, BBQ, Family Friendly,\N
American, BBQ, Family Friendly, Exclusive to Eats, Comfort Food,\N
American, BBQ, Family Friendly, Group Friendly,\N
American, BBQ, Family Meals,\N
American, BBQ, Family Meals, Family Friendly, Wings, Exclusive to Eats,\N
American, BBQ, Family Meals, Group Friendly,\N
American, BBQ, Hawaiian, Vegetarian Friendly,\N
American, BBQ, New American, Burgers, Family Meals,\N
American, BBQ, New American, Family Meals,\N
American, BBQ, Sandwich,\N
American, BBQ, Sandwich, Wings, Family Meals, Exclusive to Eats,\N
American, BBQ, Sandwiches,\N
American, BBQ, Southern, Comfort Food,\N
American, BBQ, Wings,\N
American, BBQ, burger, pasta, wings,\N
American, Bacon, Breakfast and Brunch, Comfort Food, Eggs, Family Meals,\N
American, Bacon, Breakfast and Brunch, Comfort Food, Eggs, Family Meals, Family Friendly,\N
American, Bacon, Breakfast and Brunch, Family Meals, Family Friendly,\N
American, Bagels, Alcohol,\N
American, Bagels, Sandwiches,\N
American, Bakery,\N
American, Bakery, Breakfast &amp; Brunch,\N
American, Bakery, Breakfast and Brunch, Dinner, Breakfast and Brunch, American,\N
American, Bakery, Cafe,\N
American, Bakery, Coffee and Tea,\N
American, Bakery, Comfort Food,\N
American, Bakery, Desserts,\N
American, Bakery, Exclusive to Eats, Salads, Coffee and Tea,\N
American, Bakery, Sandwich, Vegan, Vegetarian, Healthy,\N
American, Bar Food,\N
American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings,\N
American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Comfort Food, Pasta, Salads, Sandwiches, Wings, Burgers,\N
American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Friendly,\N
American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals,\N
American, Bar Food, British, Family Friendly,\N
American, Bar Food, Burgers,\N
American, Bar Food, Burgers, Sandwiches, Burgers,\N
American, Bar Food, Comfort Food, Burgers, Pizza, Family Friendly, Exclusive to Eats,\N
American, Bar Food, Comfort Food, Pasta, Salads, Sandwiches, Steak, Wings, Burgers,\N
American, Bar Food, Exclusive to Eats,\N
American, Bar Food, Family Friendly,\N
American, Bar Food, Family Friendly, Alcohol,\N
American, Bar Food, Family Friendly, Comfort Food, Pasta, Salads, Sandwiches, Steak, Wings, Burgers,\N
American, Bar Food, Fried Chicken, Alcohol,\N
American, Bar Food, Pub, Alcohol,\N
American, Bar Food, Salads, Healthy, Family Friendly,\N
American, Bar Food, Salads, Sandwich, Healthy,\N
American, Bar Food, Sandwiches, Burgers,\N
American, Bar Food, Snacks,\N
American, Bar Food, Vegetarian-Friendly, Gluten-Free Friendly,\N
American, Bar Food, Wings,\N
American, Bar Food, Wings, Chicken, Burgers,\N
American, Bar Food, Wings, Chicken, Burgers, Alcohol,\N
American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food,\N
American, Bar Food, burger, Chicken, Burgers,\N
American, Bar Food, burger, Sandwiches, Burgers,\N
American, Barfood, Wings,\N
American, Barfood, Wings, Chicken, Burgers,\N
American, Barfood, Wings, Fish and Chips, Desserts, Fast Food, Bar Food, Sandwich,\N
American, Barfood, Wings, Seafood, Fish and Chips, Desserts, Fast Food, Bar Food, Sandwich,\N
American, Black-owned, Hot Dog,\N
American, Black-owned, Seafood,\N
American, Bowls,\N
American, Breakfast &amp; Brunch,\N
American, Breakfast &amp; Brunch, Allergy Friendly, Family Friendly,\N
American, Breakfast &amp; Brunch, Breakfast and Brunch, Family Meals,\N
American, Breakfast &amp; Brunch, Comfort Food,\N
American, Breakfast &amp; Brunch, Comfort Food, Desserts, Family Friendly,\N
American, Breakfast &amp; Brunch, Comfort Food, Family Meals,\N
American, Breakfast &amp; Brunch, Comfort Food, Family Meals, Fried Chicken, Sandwich, Family Friendly,\N
American, Breakfast &amp; Brunch, Desserts, Family Friendly,\N
American, Breakfast &amp; Brunch, New American, Chicken, Family Meals,\N
American, Breakfast &amp; Brunch, Salads,\N
American, Breakfast &amp; Brunch, Salads, Family Meals,\N
American, Breakfast &amp; Brunch, Sandwich,\N
American, Breakfast &amp; Brunch, Sandwich, Comfort Food, Desserts, Family Friendly,\N
American, Breakfast &amp; Brunch, Vegetarian-Friendly, Gluten-Free Friendly, Family Meals,\N
American, Breakfast and Brunch,\N
American, Breakfast and Brunch, Alcohol,\N
American, Breakfast and Brunch, American, Comfort Food, Burgers, Family Meals, Family Friendly,\N
American, Breakfast and Brunch, Bagels,\N
American, Breakfast and Brunch, Bagels, Bakery, Jewish,\N
American, Breakfast and Brunch, Bakery,\N
American, Breakfast and Brunch, Burgers,\N
American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich,\N
American, Breakfast and Brunch, Burgers, Chicken, Sandwich,\N
American, Breakfast and Brunch, Burgers, Exclusive to Eats,\N
American, Breakfast and Brunch, Burgers, Salads,\N
American, Breakfast and Brunch, Burgers, Salads, Sandwich, Family Meals,\N
American, Breakfast and Brunch, Burgers, Salads, Sandwich, Healthy, Family Meals,\N
American, Breakfast and Brunch, Burritos,\N
American, Breakfast and Brunch, Cafe,\N
American, Breakfast and Brunch, Cafe, Coffee and Tea, Gourmet, Kids Friendly, New American, Sandwich, Salads, Traditional American, Western, Healthy,\N
American, Breakfast and Brunch, Cafe, Omelette, Traditional American,\N
American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals,\N
American, Breakfast and Brunch, Cheesesteak,\N
American, Breakfast and Brunch, Chicken,\N
American, Breakfast and Brunch, Chicken, Family Meals,\N
American, Breakfast and Brunch, Coffee and Tea,\N
American, Breakfast and Brunch, Coffee and Tea, Alcohol,\N
American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Family Meals,\N
American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy,\N
American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy, Family Friendly,\N
American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Healthy,\N
American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Healthy, Family Friendly,\N
American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Healthy, Family Meals,\N
American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich,\N
American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Family Meals,\N
American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy,\N
American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy, Family Friendly,\N
American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Healthy, Family Meals,\N
American, Breakfast and Brunch, Coffee and Tea, Salads, Steak, Sandwich,\N
American, Breakfast and Brunch, Comfort Food,\N
American, Breakfast and Brunch, Comfort Food, Allergy Friendly,\N
American, Breakfast and Brunch, Comfort Food, Family Meals,\N
American, Breakfast and Brunch, Comfort Food, Family Meals, Women-owned,\N
American, Breakfast and Brunch, Comfort Food, Fast Food, Vegetarian Friendly,\N
American, Breakfast and Brunch, Desserts,\N
American, Breakfast and Brunch, Desserts, Alcohol,\N
American, Breakfast and Brunch, Desserts, Allergy Friendly,\N
American, Breakfast and Brunch, Desserts, Allergy Friendly, Exclusive to Eats,\N
American, Breakfast and Brunch, Desserts, Allergy Friendly, Pastry, Gluten Free Friendly,\N
American, Breakfast and Brunch, Desserts, Bakery,\N
American, Breakfast and Brunch, Desserts, Bakery, Exclusive to Eats,\N
American, Breakfast and Brunch, Desserts, Coffee and Tea, Sandwich,\N
American, Breakfast and Brunch, Desserts, Comfort Food,\N
American, Breakfast and Brunch, Desserts, Exclusive to Eats,\N
American, Breakfast and Brunch, Desserts, Family Friendly,\N
American, Breakfast and Brunch, Desserts, Family Friendly, Group Friendly,\N
American, Breakfast and Brunch, Desserts, Family Meals,\N
American, Breakfast and Brunch, Desserts, Family Meals, Family Friendly,\N
American, Breakfast and Brunch, Desserts, Group Friendly,\N
American, Breakfast and Brunch, Desserts, Ice Cream + Frozen Yogurt,\N
American, Breakfast and Brunch, Desserts, Kids Friendly, Comfort Food, Coffee and Tea, Dount,\N
American, Breakfast and Brunch, Desserts, Kids Friendly, Pastry,\N
American, Breakfast and Brunch, Desserts, Salads, Healthy,\N
American, Breakfast and Brunch, Desserts, Sandwich, Salads, Healthy,\N
American, Breakfast and Brunch, Desserts, Specialty Foods,\N
American, Breakfast and Brunch, Diner,\N
American, Breakfast and Brunch, Diner, Desserts, Family Meals,\N
American, Breakfast and Brunch, Empanada,\N
American, Breakfast and Brunch, Ethiopian,\N
American, Breakfast and Brunch, Exclusive to Eats,\N
American, Breakfast and Brunch, Family Friendly, Exclusive to Eats,\N
American, Breakfast and Brunch, Family Meals,\N
American, Breakfast and Brunch, Family Meals, Family Friendly,\N
American, Breakfast and Brunch, Healthy,\N
American, Breakfast and Brunch, Healthy, Juice and Smoothies,\N
American, Breakfast and Brunch, Healthy, Juice and Smoothies, Family Meals,\N
American, Breakfast and Brunch, Ice Cream + Frozen Yogurt, Sandwich,\N
American, Breakfast and Brunch, Juice and Smoothies,\N
American, Breakfast and Brunch, Juice and Smoothies, Healthy,\N
American, Breakfast and Brunch, Juice and Smoothies, Healthy, Family Friendly, Family Meals,\N
American, Breakfast and Brunch, Juice and Smoothies, Healthy, Family Meals,\N
American, Breakfast and Brunch, Juice and Smoothies, Healthy, Family Meals, Family Friendly,\N
American, Breakfast and Brunch, Kids Friendly, Family Meals,\N
American, Breakfast and Brunch, Mac and Cheese,\N
American, Breakfast and Brunch, Mexican, Desserts,\N
