category,name,score
Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts,Jeni's Splendid Ice Cream (Pepper Place),5.0
American, Sandwich, Fried Chicken, Chicken, Kids Friendly, Local Specialities,Flyrite Chicken (Burnet Rd),5.0
American, Italian, Wings,Hunt Brothers Pizza,5.0
Sandwich, Family Meals,Honey Baked Ham (7001 Crestwood Blvd, Ste 114),5.0
Sushi, Burritos, Tacos,Wasabi Juan's (Downtown),5.0
Juice and Smoothies, Healthy, Fast Food,Tropical Smoothie Cafe - 3230 Ross Clark Circle, Suite 3,5.0
Sandwich, Deli,Firehouse Subs (3255 South Oates Street. Suite 8),5.0
New Mexican, Allergy Friendly,Dos Batos Tacos,5.0
Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food,Papa Johns (736 Montgomery Hwy),5.0
Chinese, Asian, Asian Fusion,Mr. Lin Chinese Restaurant,5.0
